,minuteOfDay,Close
830,51,174.5959
831,52,174.5825
832,53,174.73
833,54,174.7401
834,55,174.67
835,56,174.5
836,57,174.5151
837,58,174.51
838,59,174.515
839,60,174.25
840,61,174.33
841,62,174.14
842,63,174.04
843,64,174.0301
844,65,174.09
845,66,174.19
846,67,174.19
847,68,174.22
848,69,174.21
849,70,174.2901
850,71,174.49
851,72,174.41
852,73,174.51
853,74,174.5576
854,75,174.6
855,76,174.46
856,77,174.415
857,78,174.35
858,1,175.04
859,2,175.25
860,3,175.0158
861,4,175.09
862,5,174.8
863,6,174.87
864,7,175.02
865,8,174.8214
866,9,174.73
867,10,174.6961
868,11,174.84
869,12,174.78
870,13,174.76
871,14,175.01
872,15,174.9394
873,16,175.02
874,17,175.13
875,18,175.2
876,19,175.34
877,20,175.4485
878,21,175.595
879,22,175.65
880,23,175.78
881,24,175.89
882,25,175.83
883,26,175.8737
884,27,175.6562
885,28,175.63
886,29,175.58
887,30,175.49
888,31,175.49
889,32,175.54
890,33,175.52
891,34,175.49
892,35,175.59
893,36,175.6325
894,37,175.5501
895,38,175.57
896,39,175.49
897,40,175.53
898,41,175.59
899,42,175.645
900,43,175.66
901,44,175.75
902,45,175.83
903,46,175.74
904,47,175.64
905,48,175.6
906,49,175.615
907,50,175.64
908,51,175.6847
909,52,175.73
910,53,175.71
911,54,175.66
912,55,175.53
913,56,175.4102
914,57,175.3795
915,58,175.34
916,59,175.311
917,60,175.34
918,61,175.28
919,62,175.41
920,63,175.44
921,64,175.37
922,65,175.38
923,66,175.405
924,67,175.28
925,68,175.32
926,69,175.3455
927,70,175.18
928,71,175.22
929,72,175.35
930,73,175.43
931,74,175.39
932,75,175.3862
933,76,175.32
934,77,174.94
935,78,175.1
